,Name,Genre,Platform,Publisher,Developer,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales
0,Red Dead Redemption 2,Action-Adventure,PS4,Rockstar Games,Rockstar Games,13.94,5.26,6.21,0.21,2.26
1,Call of Duty: Black Ops IIII,Shooter,PS4,Activision,Treyarch,9.32,4.05,3.28,0.5,1.49
2,FIFA 19,Sports,PS4,Electronic Arts,EA Sports,9.15,0.84,6.87,0.1,1.34
3,God of War (2018),Action,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,6.15,2.83,2.17,0.13,1.02
4,Red Dead Redemption 2,Action-Adventure,XOne,Rockstar Games,Rockstar Games,5.77,3.76,1.47,,0.54
5,Call of Duty: Black Ops IIII,Shooter,XOne,Activision,Treyarch,4.85,3.27,1.12,,0.46
6,Monster Hunter: World,Action,PS4,Capcom,Capcom,4.67,1.03,1.06,2.17,0.42
7,"Pokemon: Let's Go, Pikachu!",Role-Playing,NS,Nintendo,Game Freak,4.57,2.16,1.24,0.82,0.34
8,Far Cry 5,Action,PS4,Ubisoft,Ubisoft,3.95,1.44,1.73,0.15,0.62
9,Assassin's Creed Odyssey,Action-Adventure,PS4,Ubisoft,Ubisoft Quebec,3.18,1.18,1.4,0.09,0.51
10,"Pokemon: Let's Go, Eevee!",Role-Playing,NS,Nintendo,Game Freak,2.73,1.22,0.8,0.51,0.2
11,NBA 2K19,Sports,PS4,2K Sports,Visual Concepts,2.63,1.69,0.44,0.03,0.47
12,Battlefield V,Shooter,PS4,Electronic Arts,EA DICE,2.22,0.8,0.93,0.16,0.34
13,FIFA 19,Sports,XOne,Electronic Arts,EA Sports,2.22,0.56,1.5,,0.16
14,Madden NFL 19,Sports,PS4,EA Sports,EA Tiburon,2.21,1.63,0.18,,0.41
15,Spyro Reignited Trilogy,Platform,PS4,Activision,Toys for Bob,2.17,0.75,1.07,,0.35
16,Dragon Quest XI: Echoes of an Elusive Age,Role-Playing,PS4,Square Enix,Square Enix,2.04,0.29,0.22,1.43,0.1
17,Minecraft,Sandbox,NS,Mojang,4J Studios,1.89,0.69,0.56,0.52,0.12
18,Forza Horizon 4,Racing,XOne,Microsoft Studios,Playground Games,1.84,0.74,0.95,0.01,0.15
19,Far Cry 5,Action,XOne,Ubisoft,Ubisoft Montreal,1.78,1.14,0.47,,0.17
20,NBA 2K19,Sports,XOne,2K Sports,Visual Concepts,1.74,1.47,0.08,,0.18
21,Shadow of the Tomb Raider,Action-Adventure,PS4,Square Enix,Eidos Montreal,1.74,0.59,0.82,0.06,0.27
22,Battlefield V,Shooter,XOne,Electronic Arts,EA DICE,1.55,1.05,0.35,,0.15
23,Madden NFL 19,Sports,XOne,EA Sports,EA Tiburon,1.51,1.33,0.02,,0.16
24,Dragon Ball FighterZ,Fighting,PS4,Namco Bandai Games,Arc System Works,1.46,0.61,0.51,0.12,0.23
25,Assassin's Creed Odyssey,Action-Adventure,XOne,Ubisoft,Ubisoft Quebec,1.39,0.91,0.35,,0.13
26,Fallout 76,Role-Playing,PS4,Bethesda Softworks,Bethesda Game Studios,1.32,0.52,0.49,0.1,0.2
27,Shadow of the Colossus,Action-Adventure,PS4,Sony Interactive Entertainment,Bluepoint Games,1.2,0.44,0.52,0.05,0.19
28,Crash Bandicoot N. Sane Trilogy,Platform,NS,Activision,Toys for Bob,1.11,0.44,0.57,0.02,0.09
29,MLB The Show 18,Sports,PS4,Sony Interactive Entertainment,SIE San Diego Studio,1.06,0.86,,,0.2
30,WWE 2K19,Fighting,PS4,2K Sports,Visual Concepts,0.98,0.36,0.46,,0.16
31,EA Sports UFC 3,Sports,PS4,EA Sports,EA Vancouver,0.97,0.4,0.41,0.01,0.16
32,Sea of Thieves,Action-Adventure,XOne,Microsoft Studios,Rare Ltd.,0.96,0.6,0.27,,0.09
33,Fallout 76,Role-Playing,XOne,Bethesda Softworks,Bethesda Game Studios,0.93,0.59,0.26,,0.09
34,Monster Hunter: World,Action,XOne,Capcom,Capcom,0.93,0.67,0.17,,0.09
35,Ni no Kuni II: Revenant Kingdom,Role-Playing,PS4,Namco Bandai Games,Level 5,0.89,0.33,0.31,0.12,0.13
36,The Crew 2,Racing,PS4,Ubisoft,Ivory Tower,0.82,0.22,0.42,0.05,0.12
37,Shadow of the Tomb Raider,Action-Adventure,XOne,Square Enix,Eidos Montreal,0.78,0.46,0.25,,0.07
38,Just Dance 2019,Music,NS,Ubisoft,Ubisoft Paris,0.76,0.43,0.26,,0.07
39,FIFA 19,Sports,NS,Electronic Arts,EA Sports,0.75,0.18,0.47,0.06,0.05
40,Monster Hunter Generations Ultimate,Action,NS,Capcom,Capcom,0.72,0.27,0.14,0.27,0.04
41,Astro Bot Rescue Mission,Platform,PS4,Sony Interactive Entertainment,SIE Japan Studio,0.71,0.22,0.36,0.02,0.11
42,SoulCalibur VI,Fighting,PS4,Bandai Namco Games,Project Soul,0.71,0.44,0.11,0.04,0.12
